Ecoregion,Country,Site,Genus,Species,Taxon,N_min,Date,Start_decimal,Gamete_release,DoSRtNFM,daylen_decimal,sunset,sunrise
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,Porites,cylindrica,Porites  cylindrica,1.0,1988-10-27,20.5,Sperm,3,13.34,18.23,5.49
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,Porites,cylindrica,Porites  cylindrica,15.0,1995-11-09,20.58333333333333,Sperm,3,13.42,18.27,5.45
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,Acropora,muricata,Acropora  muricata,1.0,1995-11-10,20.33333333333333,Bundles,4,13.43,18.28,5.45
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,Merulina,ampliata,Merulina  ampliata,6.0,1995-11-11,19.75,Bundles,5,13.44,18.28,5.44
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,Montipora,grisea,Montipora  grisea,3.0,1995-11-11,20.75,Bundles,5,13.44,18.28,5.44
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,Montipora,turgescens,Montipora  turgescens,3.0,1995-11-11,19.75,Bundles,5,13.44,18.28,5.44
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,Oxypora,lacera,Oxypora  lacera,1.0,1995-11-11,20.5,Bundles,5,13.44,18.28,5.44
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,Lobophyllia,hemprichii,Lobophyllia  hemprichii,6.0,1995-11-12,18.75,Sperm,6,13.45,18.29,5.44
"Tuvalu, Samoa and Tonga",American Samoa,Faga’alu,Oxypora,lacera,Oxypora  lacera,5.0,1995-11-12,20.5,Bundles,6,13.45,18.29,5.44
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Astreopora,myriophthalma,Astreopora  myriophthalma,1.0,1983-11-25,21.15,Bundles,5,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Australogyra,zelli,Australogyra  zelli,1.0,1983-11-25,22.566666666666663,Bundles,5,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Echinophyllia,orpheensis,Echinophyllia  orpheensis,1.0,1983-11-25,21.9,Bundles,5,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Goniastrea,edwardsi,Goniastrea  edwardsi,3.0,1983-11-25,21.9,Bundles,5,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Lobophyllia,radians,Lobophyllia  radians,1.0,1983-11-25,20.15,Bundles,5,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Mycedium,elephantotus,Mycedium  elephantotus,1.0,1983-11-25,21.9,Bundles,5,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Sandalolitha,robusta,Sandalolitha  robusta,1.0,1983-11-25,21.98333333333333,Eggs,5,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Astrea,curta,Astrea  curta,1.0,1983-11-26,21.15,Bundles,6,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Astreopora,myriophthalma,Astreopora  myriophthalma,1.0,1983-11-26,21.15,Bundles,6,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Dipsastraea,pallida,Dipsastraea  pallida,1.0,1983-11-26,20.65,Bundles,6,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Mycedium,elephantotus,Mycedium  elephantotus,1.0,1983-11-26,21.916666666666668,Bundles,6,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Platygyra,daedalea,Platygyra  daedalea,1.0,1983-11-26,22.15,Bundles,6,13.7,18.29,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Platygyra,daedalea,Platygyra  daedalea,1.0,1983-11-27,22.166666666666668,Bundles,7,13.8,18.3,5.22
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Acropora,gemmifera,Acropora  gemmifera,1.0,1982-12-06,20.0,Bundles,5,13.13,18.32,5.19
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Acropora,humilis,Acropora  humilis,1.0,1982-12-06,20.0,Bundles,5,13.13,18.32,5.19
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Acropora,loripes,Acropora  loripes,1.0,1982-12-06,20.0,Bundles,5,13.13,18.32,5.19
Central and northern Great Barrier Reef,Australia,Big Broadhurst Reef,Acropora,nasuta,Acropora  nasuta,1.0,1982-12-06,20.0,Bundles,5,13.13,18.32,5.19
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,aculeus,Acropora  aculeus,1.0,1983-11-25,20.466666666666665,Bundles,5,13.7,18.28,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,grandis,Acropora  grandis,1.0,1983-11-25,21.3,Bundles,5,13.7,18.28,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,intermedia,Acropora  intermedia,3.0,1983-11-25,22.133333333333333,Bundles,5,13.7,18.28,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Cyphastrea,chalcidicum,Cyphastrea  chalcidicum,1.0,1983-11-25,20.05,Bundles,5,13.7,18.28,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Goniastrea,pectinata,Goniastrea  pectinata,2.0,1983-11-25,21.4,Bundles,5,13.7,18.28,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Merulina,ampliata,Merulina  ampliata,3.0,1983-11-25,21.133333333333333,Bundles,5,13.7,18.28,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Platygyra,daedalea,Platygyra  daedalea,1.0,1983-11-25,22.133333333333333,Bundles,5,13.7,18.28,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,cerealis,Acropora  cerealis,5.0,1983-11-26,22.316666666666663,Bundles,6,13.8,18.29,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,gemmifera,Acropora  gemmifera,2.0,1983-11-26,22.316666666666663,Bundles,6,13.8,18.29,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,humilis,Acropora  humilis,1.0,1983-11-26,22.316666666666663,Bundles,6,13.8,18.29,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,hyacinthus,Acropora  hyacinthus,1.0,1983-11-26,22.316666666666663,Bundles,6,13.8,18.29,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,intermedia,Acropora  intermedia,5.0,1983-11-26,22.15,Bundles,6,13.8,18.29,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,millepora,Acropora  millepora,2.0,1983-11-26,21.65,Bundles,6,13.8,18.29,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,muricata,Acropora  muricata,5.0,1983-11-26,22.15,Bundles,6,13.8,18.29,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,secale,Acropora  secale,1.0,1983-11-26,22.316666666666663,Bundles,6,13.8,18.29,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,valida,Acropora  valida,1.0,1983-11-26,20.9,Bundles,6,13.8,18.29,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Merulina,ampliata,Merulina  ampliata,5.0,1983-11-26,21.15,Bundles,6,13.8,18.29,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Montipora,turgescens,Montipora  turgescens,1.0,1983-11-26,20.9,Bundles,6,13.8,18.29,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,hyacinthus,Acropora  hyacinthus,1.0,1986-11-19,21.5,Bundles,3,13.4,18.25,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,millepora,Acropora  millepora,1.0,1986-11-19,21.5,Bundles,3,13.4,18.25,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,muricata,Acropora  muricata,1.0,1986-11-19,21.5,Bundles,3,13.4,18.25,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,valida,Acropora  valida,1.0,1986-11-19,21.5,Bundles,3,13.4,18.25,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,gemmifera,Acropora  gemmifera,1.0,1986-11-20,21.75,Bundles,4,13.4,18.25,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,hyacinthus,Acropora  hyacinthus,1.0,1986-11-20,21.75,Bundles,4,13.4,18.25,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,millepora,Acropora  millepora,1.0,1986-11-20,21.75,Bundles,4,13.4,18.25,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,valida,Acropora  valida,1.0,1986-11-20,21.75,Bundles,4,13.4,18.25,5.21
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,hyacinthus,Acropora  hyacinthus,1.0,1987-12-09,22.08333333333333,Bundles,4,13.14,18.37,5.23
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,millepora,Acropora  millepora,1.0,1987-12-09,21.916666666666668,Bundles,4,13.14,18.37,5.23
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,muricata,Acropora  muricata,1.0,1987-12-09,21.75,Bundles,4,13.14,18.37,5.23
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,humilis,Acropora  humilis,6.0,1987-12-10,21.5,Bundles,5,13.15,18.38,5.23
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,hyacinthus,Acropora  hyacinthus,5.0,1987-12-10,21.5,Bundles,5,13.15,18.38,5.23
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,intermedia,Acropora  intermedia,6.0,1987-12-10,21.5,Bundles,5,13.15,18.38,5.23
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,millepora,Acropora  millepora,4.0,1987-12-10,21.5,Bundles,5,13.15,18.38,5.23
Central and northern Great Barrier Reef,Australia,Bowden Reef,Acropora,valida,Acropora  valida,2.0,1987-12-10,21.5,Bundles,5,13.15,18.38,5.23
Ningaloo Reef and coastal north-west Australia,Australia,Dampier,Acropora,florida,Acropora  florida,1.0,1985-03-15,20.166666666666668,Not recorded,8,12.14,18.29,6.15
Ningaloo Reef and coastal north-west Australia,Australia,Dampier,Acropora,hyacinthus,Acropora  hyacinthus,1.0,1985-03-15,20.166666666666668,Not recorded,8,12.14,18.29,6.15
Ningaloo Reef and coastal north-west Australia,Australia,Dampier,Acropora,latistella,Acropora  latistella,1.0,1985-03-15,20.166666666666668,Not recorded,8,12.14,18.29,6.15
Ningaloo Reef and coastal north-west Australia,Australia,Dampier,Acropora,millepora,Acropora  millepora,1.0,1985-03-15,20.166666666666668,Not recorded,8,12.14,18.29,6.15
Ningaloo Reef and coastal north-west Australia,Australia,Dampier,Acropora,muricata,Acropora  muricata,1.0,1985-03-15,20.166666666666668,Not recorded,8,12.14,18.29,6.15
Ningaloo Reef and coastal north-west Australia,Australia,Dampier,Acropora,tortuosa,Acropora  tortuosa,1.0,1985-03-15,20.166666666666668,Not recorded,8,12.14,18.29,6.15
Ningaloo Reef and coastal north-west Australia,Australia,Dampier,Astreopora,gracilis,Astreopora  gracilis,1.0,1985-03-15,20.166666666666668,Not recorded,8,12.14,18.29,6.15
Ningaloo Reef and coastal north-west Australia,Australia,Dampier,Coelastrea,aspera,Coelastrea  aspera,1.0,1985-03-15,20.166666666666668,Not recorded,8,12.14,18.29,6.15
Ningaloo Reef and coastal north-west Australia,Australia,Dampier,Favites,abdita,Favites  abdita,1.0,1985-03-15,20.166666666666668,Not recorded,8,12.14,18.29,6.15
Ningaloo Reef and coastal north-west Australia,Australia,Dampier,Favites,halicora,Favites  halicora,1.0,1985-03-15,20.166666666666668,Not recorded,8,12.14,18.29,6.15
Ningaloo Reef and coastal north-west Australia,Australia,Dampier,Favites,magnistellata,Favites  magnistellata,1.0,1985-03-15,20.166666666666668,Not recorded,8,12.14,18.29,6.15
Ningaloo Reef and coastal north-west Australia,Australia,Dampier,Fungia,fungites,Fungia  fungites,1.0,1985-03-15,20.166666666666668,Not recorded,8,12.14,18.29,6.15
Ningaloo Reef and coastal north-west Australia,Australia,Dampier,Goniastrea,retiformis,Goniastrea  retiformis,1.0,1985-03-15,20.166666666666668,Not recorded,8,12.14,18.29,6.15
Ningaloo Reef and coastal north-west Australia,Australia,Dampier,Lobophyllia,hemprichii,Lobophyllia  hemprichii,1.0,1985-03-15,20.166666666666668,Not recorded,8,12.14,18.29,6.15
Ningaloo Reef and coastal north-west Australia,Australia,Dampier,Merulina,ampliata,Merulina  ampliata,1.0,1985-03-15,20.166666666666668,Not recorded,8,12.14,18.29,6.15
Ningaloo Reef and coastal north-west Australia,Australia,Dampier,Montipora,hispida,Montipora  hispida,1.0,1985-03-15,20.166666666666668,Not recorded,8,12.14,18.29,6.15
Ningaloo Reef and coastal north-west Australia,Australia,Dampier,Platygyra,sinensis,Platygyra  sinensis,1.0,1985-03-15,20.166666666666668,Not recorded,8,12.14,18.29,6.15
Ningaloo Reef and coastal north-west Australia,Australia,Dampier,Acropora,florida,Acropora  florida,1.0,1985-03-16,20.0,Not recorded,9,12.13,18.28,6.15
Central and northern Great Barrier Reef,Australia,Davies Reef,Turbinaria,stellulata,Turbinaria  stellulata,1.0,1990-12-06,20.33333333333333,Sperm,4,13.13,19.36,6.23
Central and northern Great Barrier Reef,Australia,Davies Reef,Turbinaria,stellulata,Turbinaria  stellulata,1.0,1990-12-07,20.5,Sperm,5,13.13,19.37,6.24
Central and northern Great Barrier Reef,Australia,Davies Reef,Diploastrea,heliopora,Diploastrea  heliopora,1.0,1990-12-08,20.5,Not recorded,6,13.13,19.37,6.24
Central and northern Great Barrier Reef,Australia,Esk Island,Acropora,tenuis,Acropora  tenuis,1.0,2015-11-30,19.0,Bundles,4,13.1,18.37,5.27
Central and northern Great Barrier Reef,Australia,Fantome Island,Acropora,pulchra,Acropora  pulchra,2.0,1992-11-14,18.0,Bundles,4,13.59,18.27,5.28
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Paragoniastrea,australensis,Paragoniastrea  australensis,1.0,1978-11-18,16.0,Not recorded,3,14.17,18.15,4.58
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Paragoniastrea,australensis,Paragoniastrea  australensis,1.0,1978-11-19,16.0,Not recorded,4,14.18,18.16,4.58
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Paragoniastrea,australensis,Paragoniastrea  australensis,1.0,1978-11-19,16.0,Not recorded,4,14.18,18.16,4.58
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Paragoniastrea,australensis,Paragoniastrea  australensis,1.0,1978-11-20,16.0,Not recorded,5,14.19,18.17,4.58
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Paragoniastrea,australensis,Paragoniastrea  australensis,1.0,1978-11-20,16.0,Not recorded,5,14.19,18.17,4.58
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Paragoniastrea,australensis,Paragoniastrea  australensis,1.0,1978-11-21,16.0,Not recorded,6,14.19,18.17,4.58
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Paragoniastrea,australensis,Paragoniastrea  australensis,1.0,1978-11-22,16.0,Not recorded,7,14.2,18.18,4.58
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Paragoniastrea,australensis,Paragoniastrea  australensis,1.0,1978-11-23,16.0,Not recorded,8,14.22,18.19,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Paragoniastrea,australensis,Paragoniastrea  australensis,1.0,1978-11-24,16.0,Not recorded,9,14.23,18.2,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Paragoniastrea,australensis,Paragoniastrea  australensis,1.0,1979-11-09,16.0,Not recorded,5,13.7,18.9,5.2
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Paragoniastrea,australensis,Paragoniastrea  australensis,1.0,1979-11-10,16.0,Not recorded,6,13.9,18.1,5.1
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Paragoniastrea,australensis,Paragoniastrea  australensis,1.0,1979-11-11,16.0,Not recorded,7,13.9,18.1,5.1
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Favites,abdita,Favites  abdita,1.0,1979-11-12,20.0,Bundles,8,13.1,18.11,5.1
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Paragoniastrea,australensis,Paragoniastrea  australensis,1.0,1979-11-12,16.0,Not recorded,8,13.1,18.11,5.1
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Paragoniastrea,australensis,Paragoniastrea  australensis,1.0,1979-11-13,16.0,Not recorded,9,13.12,18.12,5.0
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Porites,cylindrica,Porites  cylindrica,1.0,1979-12-01,21.0,Sperm,-3,14.27,18.24,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Porites,cylindrica,Porites  cylindrica,1.0,1979-12-02,21.0,Sperm,-2,14.28,18.25,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Porites,cylindrica,Porites  cylindrica,1.0,1979-12-04,21.0,Sperm,0,14.29,18.26,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Porites,cylindrica,Porites  cylindrica,1.0,1979-12-05,21.0,Sperm,1,14.3,18.27,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Porites,cylindrica,Porites  cylindrica,1.0,1979-12-07,21.0,Sperm,3,14.31,18.28,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Porites,cylindrica,Porites  cylindrica,1.0,1979-12-07,21.75,Eggs,3,14.31,18.28,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Porites,cylindrica,Porites  cylindrica,1.0,1979-12-08,21.0,Sperm,4,14.31,18.29,4.58
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Leptoria,phrygia,Leptoria  phrygia,1.0,1979-12-09,22.0,Bundles,5,14.32,18.3,4.58
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Leptoria,phrygia,Leptoria  phrygia,1.0,1979-12-12,22.0,Bundles,8,14.33,18.32,4.59
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Paragoniastrea,australensis,Paragoniastrea  australensis,1.0,1980-10-28,16.0,Not recorded,4,13.54,18.3,5.9
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Paragoniastrea,australensis,Paragoniastrea  australensis,1.0,1980-10-28,16.0,Not recorded,4,13.54,18.3,5.9
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,millepora,Acropora  millepora,2.0,2001-11-09,20.5,Bundles,8,13.8,18.1,5.2
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,digitifera,Acropora  digitifera,2.0,2001-11-10,20.5,Bundles,9,13.9,18.1,5.1
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,pulchra,Acropora  pulchra,2.0,2001-11-10,20.5,Bundles,9,13.9,18.1,5.1
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,millepora,Acropora  millepora,1.0,2001-11-11,20.5,Bundles,10,13.1,18.11,5.1
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Montipora,digitata,Montipora  digitata,2.0,2009-12-06,21.5,Bundles,4,14.31,18.28,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,millepora,Acropora  millepora,5.0,2009-12-07,21.5,Bundles,5,14.31,18.29,4.58
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,muricata,Acropora  muricata,5.0,2009-12-08,21.5,Bundles,6,14.31,18.29,4.58
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,robusta,Acropora  robusta,3.0,2009-12-08,21.5,Bundles,6,14.31,18.29,4.58
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Montipora,digitata,Montipora  digitata,2.0,2010-11-28,21.5,Bundles,6,14.25,18.22,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,aspera,Acropora  aspera,3.0,2010-11-29,20.666666666666668,Bundles,7,14.26,18.23,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,cytherea,Acropora  cytherea,5.0,2010-11-29,23.166666666666668,Bundles,7,14.26,18.23,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,millepora,Acropora  millepora,5.0,2010-11-29,20.666666666666668,Bundles,7,14.26,18.23,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,aspera,Acropora  aspera,1.0,2010-11-30,20.33333333333333,Bundles,8,14.27,18.24,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,cytherea,Acropora  cytherea,5.0,2010-11-30,23.5,Bundles,8,14.27,18.24,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,selago,Acropora  selago,1.0,2010-11-30,22.0,Bundles,8,14.27,18.24,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,aspera,Acropora  aspera,2.0,2010-12-01,21.5,Bundles,9,14.28,18.25,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,cytherea,Acropora  cytherea,2.0,2010-12-01,22.5,Bundles,9,14.28,18.25,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,selago,Acropora  selago,5.0,2010-12-01,22.0,Bundles,9,14.28,18.25,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,millepora,Acropora  millepora,5.0,2011-11-17,21.5,Bundles,6,14.16,18.15,4.59
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,aspera,Acropora  aspera,4.0,2012-11-08,20.5,Bundles,9,13.7,18.9,5.2
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,millepora,Acropora  millepora,5.0,2012-11-08,21.25,Bundles,9,13.7,18.9,5.2
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,valida,Acropora  valida,1.0,2012-11-08,22.0,Bundles,9,13.7,18.9,5.2
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,selago,Acropora  selago,10.0,2012-11-09,23.0,Bundles,10,13.9,18.1,5.1
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,hyacinthus,Acropora  hyacinthus,1.0,2012-11-10,21.75,Bundles,11,13.9,18.1,5.1
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,millepora,Acropora  millepora,1.0,2012-11-10,21.75,Bundles,11,13.9,18.1,5.1
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,aspera,Acropora  aspera,1.0,2012-12-05,20.75,Bundles,6,14.31,18.28,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,millepora,Acropora  millepora,1.0,2012-12-05,21.5,Bundles,6,14.31,18.28,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,valida,Acropora  valida,1.0,2012-12-05,22.5,Bundles,6,14.31,18.28,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Porites,cylindrica,Porites  cylindrica,1.0,2013-11-21,21.0,Sperm,3,14.2,18.18,4.58
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Porites,cylindrica,Porites  cylindrica,1.0,2013-11-21,21.0,Eggs,3,14.2,18.18,4.58
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Montipora,digitata,Montipora  digitata,1.0,2013-11-22,20.75,Bundles,4,14.21,18.18,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Porites,cylindrica,Porites  cylindrica,1.0,2013-11-22,21.0,Sperm,4,14.21,18.18,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Porites,cylindrica,Porites  cylindrica,1.0,2013-11-22,21.0,Eggs,4,14.21,18.18,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,gemmifera,Acropora  gemmifera,1.0,2013-11-23,22.416666666666668,Bundles,5,14.22,18.19,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,millepora,Acropora  millepora,1.0,2013-11-23,21.166666666666668,Bundles,5,14.22,18.19,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Acropora,valida,Acropora  valida,1.0,2013-11-23,22.25,Bundles,5,14.22,18.19,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Montipora,digitata,Montipora  digitata,1.0,2013-11-23,20.666666666666668,Bundles,5,14.22,18.19,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Dipsastraea,sp.,Dipsastraea  sp.,1.0,2013-11-24,19.75,Bundles,6,14.23,18.2,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Astrea,curta,Astrea  curta,1.0,2013-11-25,20.75,Bundles,7,14.24,18.21,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Astreopora,sp.,Astreopora  sp.,1.0,2013-11-25,19.33333333333333,Bundles,7,14.24,18.21,4.57
Southern Great Barrier Reef (including Keppel Islands and Capricorn Bunker Reefs),Australia,Heron Island,Dipsastraea,sp.,Dipsastraea  sp.,1.0,2013-11-25,20.5,Bundles,7,14.24,18.21,4.57
